Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
2,200,25,1,1,0.03,2,0.5592515592515592,0.4882154882154882,0:16:47.071017,<function arithmetic_crossover at 0x0000027F3996CB70>
1,200,25,1,1,0.03,2,0.5550935550935551,0.48484848484848486,0:16:49.317007,<function arithmetic_crossover at 0x0000026CFA0BCB70>
0,200,25,1,1,0.03,2,0.4875259875259875,0.4276094276094276,0:16:49.351914,<function arithmetic_crossover at 0x0000015DC1BCCB70>
1,200,25,0.9,1,0.03,2,0.5550935550935551,0.48484848484848486,0:16:52.120507,<function arithmetic_crossover at 0x000001B9F93ECB70>
2,200,25,0.9,1,0.03,2,0.5592515592515592,0.4882154882154882,0:16:55.874462,<function arithmetic_crossover at 0x000001DE164ECB70>
0,200,25,0.9,1,0.03,2,0.4875259875259875,0.4276094276094276,0:16:58.406690,<function arithmetic_crossover at 0x000001CA578ACB70>
3,200,25,1,1,0.03,2,0.5426195426195426,0.5252525252525253,0:12:46.036681,<function arithmetic_crossover at 0x0000027F3996CB70>
4,200,25,1,1,0.03,2,0.579002079002079,0.5286195286195287,0:12:51.542950,<function arithmetic_crossover at 0x0000026CFA0BCB70>
3,200,25,0.9,1,0.03,2,0.5426195426195426,0.5252525252525253,0:12:22.966398,<function arithmetic_crossover at 0x000001B9F93ECB70>
4,200,25,0.9,1,0.03,2,0.579002079002079,0.5286195286195287,0:12:27.775533,<function arithmetic_crossover at 0x000001DE164ECB70>
