Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
Seed,N_gen,PS,PC,PM,radius,Pressure,Fitness,UnseenAccuracy,Time
2,100,50,0.2,0.1,0.2,0.2,0.35446985446985446,0.32996632996632996,0:01:49.190306
2,140,35,0.2,0.1,0.8,0.2,0.25363825363825365,0.2356902356902357,0:01:57.219759
2,100,50,0.4,0.1,0.6000000000000001,0.2,0.28586278586278585,0.2676767676767677,0:02:02.902193
2,100,50,0.6000000000000001,0.1,1.0,0.2,0.288981288981289,0.2474747474747475,0:02:42.068129
2,120,41,1.0,0.1,0.4,0.2,0.28586278586278585,0.24579124579124578,0:03:15.693546
2,100,50,0.2,0.1,0.2,0.4,0.3108108108108108,0.265993265993266,0:02:01.345050
2,140,35,0.2,0.1,0.8,0.4,0.25363825363825365,0.2356902356902357,0:02:09.684193
2,100,50,0.4,0.1,0.6000000000000001,0.4,0.28586278586278585,0.2676767676767677,0:02:16.596169
2,100,50,0.6000000000000001,0.1,1.0,0.4,0.25675675675675674,0.23905723905723905,0:02:55.367582
2,100,50,0.2,0.1,0.2,0.6000000000000001,0.33367983367983367,0.28114478114478114,0:02:00.820008
2,100,50,0.8,0.30000000000000004,0.4,0.2,0.3503118503118503,0.31313131313131315,0:06:07.635355
2,140,35,0.2,0.1,0.8,0.6000000000000001,0.25363825363825365,0.2356902356902357,0:02:10.414019
2,100,50,1.0,0.30000000000000004,0.8,0.2,0.35446985446985446,0.3063973063973064,0:06:17.979261
2,100,50,0.4,0.1,0.6000000000000001,0.6000000000000001,0.28586278586278585,0.2676767676767677,0:02:16.039428
2,120,41,1.0,0.1,0.4,0.4,0.33575883575883575,0.29124579124579125,0:03:29.690571
2,100,50,0.2,0.1,0.2,0.8,0.35135135135135137,0.32154882154882153,0:02:01.517149
2,140,35,0.2,0.1,0.8,0.8,0.32432432432432434,0.2609427609427609,0:02:08.971371
2,100,50,0.6000000000000001,0.1,1.0,0.6000000000000001,0.25675675675675674,0.23905723905723905,0:02:55.782111
2,120,41,0.2,0.5,0.2,0.2,0.3866943866943867,0.35185185185185186,0:08:35.924098
2,120,41,0.4,0.5,0.6000000000000001,0.2,0.340956340956341,0.31313131313131315,0:08:50.019765
2,100,50,0.4,0.1,0.6000000000000001,0.8,0.28586278586278585,0.2676767676767677,0:02:14.803565
2,120,41,0.6000000000000001,0.5,1.0,0.2,0.3316008316008316,0.2878787878787879,0:09:12.610447
2,100,50,0.2,0.1,0.2,1.0,0.37525987525987525,0.3383838383838384,0:02:08.470857
2,120,41,1.0,0.1,0.4,0.6000000000000001,0.29521829521829523,0.27104377104377103,0:03:33.343350
2,140,35,0.2,0.1,0.8,1.0,0.2733887733887734,0.25925925925925924,0:02:16.674281
2,100,50,0.4,0.1,0.6000000000000001,1.0,0.28586278586278585,0.2676767676767677,0:02:22.031901
2,100,50,0.6000000000000001,0.1,1.0,0.8,0.2869022869022869,0.2946127946127946,0:03:01.646686
2,100,50,0.2,0.1,0.4,0.2,0.2681912681912682,0.24074074074074073,0:02:01.431045
2,100,50,0.8,0.30000000000000004,0.4,0.4,0.32744282744282743,0.3047138047138047,0:06:23.412320
2,140,35,0.2,0.1,1.0,0.2,0.2515592515592516,0.2255892255892256,0:02:07.491295
2,100,50,1.0,0.30000000000000004,0.8,0.4,0.2817047817047817,0.24074074074074073,0:06:33.838553
2,100,50,0.4,0.1,0.8,0.2,0.3097713097713098,0.25925925925925924,0:02:11.803810
2,120,41,1.0,0.1,0.4,0.8,0.3076923076923077,0.2727272727272727,0:03:23.254044
2,100,50,0.2,0.1,0.4,0.4,0.2733887733887734,0.23063973063973064,0:01:56.496737
2,100,50,0.6000000000000001,0.1,1.0,1.0,0.24220374220374222,0.22727272727272727,0:02:47.103742
2,140,35,0.2,0.1,1.0,0.4,0.29002079002079,0.2356902356902357,0:02:03.933416
2,100,50,0.4,0.1,0.8,0.4,0.3097713097713098,0.25925925925925924,0:02:10.143861
2,100,50,0.2,0.1,0.4,0.6000000000000001,0.2733887733887734,0.23063973063973064,0:01:58.975943
2,140,35,0.2,0.1,1.0,0.6000000000000001,0.2910602910602911,0.24579124579124578,0:02:07.781361
2,120,41,1.0,0.1,0.4,1.0,0.3076923076923077,0.2727272727272727,0:03:23.189705
2,120,41,0.2,0.5,0.2,0.4,0.38253638253638256,0.36195286195286197,0:08:42.443788
2,100,50,0.4,0.1,0.8,0.6000000000000001,0.3097713097713098,0.25925925925925924,0:02:12.063448
