Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,p,time
0.5280665280665281,0.4781144781144781,0,300,16,2,0.8,0.003,0.02,0:01:21.844209
0.5446985446985447,0.494949494949495,0,200,25,2,0.9,0.003,0.005,0:01:26.180617
0.5176715176715176,0.468013468013468,0,200,25,1,0.8,0.003,0.01,0:01:27.330545
0.3794178794178794,0.3787878787878788,0,300,16,2,0.9,0.003,0.01,0:01:24.643726
0.498960498960499,0.43097643097643096,0,200,25,2,0.9,0.003,0.02,0:01:25.935270
0.5644490644490644,0.49663299663299665,0,200,25,1,0.8,0.003,0.005,0:01:27.434267
0.4386694386694387,0.40235690235690236,0,300,16,2,0.9,0.003,0.005,0:01:21.064313
0.5696465696465697,0.5067340067340067,0,300,16,1,0.8,0.003,0.01,0:01:20.537704
0.5083160083160083,0.45791245791245794,0,200,25,1,0.8,0.003,0.02,0:01:24.414339
0.4178794178794179,0.39225589225589225,0,300,16,2,0.9,0.003,0.02,0:01:17.848893
0.3866943866943867,0.37542087542087543,0,300,16,1,0.8,0.003,0.005,0:01:18.215912
0.41683991683991684,0.3434343434343434,0,200,25,1,0.9,0.003,0.01,0:01:21.672670
0.5062370062370062,0.41414141414141414,1,200,25,1,0.8,0.003,0.01,0:01:19.620158
0.4792099792099792,0.4292929292929293,0,300,16,1,0.8,0.003,0.02,0:01:16.099570
0.46361746361746364,0.39225589225589225,0,200,25,1,0.9,0.003,0.005,0:01:21.175006
0.4864864864864865,0.42592592592592593,0,300,16,1,0.9,0.003,0.01,0:01:19.606193
0.6195426195426196,0.5286195286195287,1,200,25,1,0.8,0.003,0.005,0:01:23.842868
0.41995841995842,0.37542087542087543,0,200,25,1,0.9,0.003,0.02,0:01:25.179299
0.502079002079002,0.4377104377104377,0,300,16,1,0.9,0.003,0.005,0:01:21.115162
0.5176715176715176,0.4781144781144781,1,200,25,1,0.8,0.003,0.02,0:01:24.494142
0.5343035343035343,0.46464646464646464,0,200,25,2,0.8,0.003,0.01,0:01:24.081231
0.5332640332640333,0.4208754208754209,0,300,16,1,0.9,0.003,0.02,0:01:17.144775
0.5498960498960499,0.4797979797979798,1,200,25,1,0.9,0.003,0.01,0:01:20.631452
0.5613305613305614,0.4764309764309764,0,200,25,2,0.8,0.003,0.005,0:01:20.883780
0.66008316008316,0.5841750841750841,0,300,16,2,0.8,0.003,0.01,0:01:17.426023
0.5343035343035343,0.4663299663299663,1,200,25,1,0.9,0.003,0.005,0:01:20.621481
0.498960498960499,0.45286195286195285,0,200,25,2,0.8,0.003,0.02,0:01:22.331906
0.5675675675675675,0.5235690235690236,0,300,16,2,0.8,0.003,0.005,0:01:20.191564
0.4875259875259875,0.43097643097643096,1,200,25,1,0.9,0.003,0.02,0:01:26.655274
0.5176715176715176,0.4595959595959596,0,200,25,2,0.9,0.003,0.01,0:01:25.292927
0.3212058212058212,0.2558922558922559,1,200,25,2,0.8,0.003,0.01,0:01:21.629786
0.6444906444906445,0.5740740740740741,1,300,16,1,0.9,0.003,0.005,0:01:14.979563
0.4594594594594595,0.43602693602693604,2,200,25,1,0.8,0.003,0.02,0:01:18.269766
0.5914760914760915,0.5740740740740741,1,200,25,2,0.8,0.003,0.005,0:01:17.919694
0.49064449064449067,0.4444444444444444,1,300,16,1,0.9,0.003,0.02,0:01:14.752169
0.5498960498960499,0.49326599326599324,2,200,25,1,0.9,0.003,0.01,0:01:18.162049
0.39293139293139295,0.3400673400673401,1,200,25,2,0.8,0.003,0.02,0:01:16.849562
0.5405405405405406,0.4764309764309764,1,300,16,2,0.8,0.003,0.01,0:01:15.137145
0.6226611226611226,0.5067340067340067,2,200,25,1,0.9,0.003,0.005,0:01:17.809001
0.6392931392931392,0.5707070707070707,1,200,25,2,0.9,0.003,0.01,0:01:17.250491
0.6153846153846154,0.563973063973064,1,300,16,2,0.8,0.003,0.005,0:01:14.866862
0.5446985446985447,0.4898989898989899,2,200,25,1,0.9,0.003,0.02,0:01:19.720886
0.5155925155925156,0.4713804713804714,1,200,25,2,0.9,0.003,0.005,0:01:16.648101
0.5218295218295218,0.4612794612794613,1,300,16,2,0.8,0.003,0.02,0:01:14.239538
0.5893970893970893,0.5286195286195287,2,200,25,2,0.8,0.003,0.01,0:01:15.941990
0.40540540540540543,0.39225589225589225,1,200,25,2,0.9,0.003,0.02,0:01:13.180378
0.49064449064449067,0.468013468013468,1,300,16,2,0.9,0.003,0.01,0:01:12.930039
0.6101871101871101,0.5723905723905723,2,200,25,2,0.8,0.003,0.005,0:01:15.858215
0.6153846153846154,0.51010101010101,1,300,16,1,0.8,0.003,0.01,0:01:10.526450
0.5166320166320166,0.4797979797979798,1,300,16,2,0.9,0.003,0.005,0:01:11.263496
0.47401247401247404,0.468013468013468,2,200,25,2,0.8,0.003,0.02,0:01:14.524774
0.7089397089397089,0.6212121212121212,1,300,16,1,0.8,0.003,0.005,0:01:11.539755
0.5207900207900208,0.4494949494949495,1,300,16,2,0.9,0.003,0.02,0:01:10.196350
0.525987525987526,0.5084175084175084,2,200,25,2,0.9,0.003,0.01,0:01:17.583599
0.37214137214137216,0.35353535353535354,1,300,16,1,0.8,0.003,0.02,0:01:15.428364
0.5041580041580042,0.44612794612794615,2,200,25,1,0.8,0.003,0.01,0:01:17.433002
0.5561330561330561,0.45454545454545453,2,200,25,2,0.9,0.003,0.005,0:01:13.623191
0.5103950103950103,0.49663299663299665,1,300,16,1,0.9,0.003,0.01,0:01:11.400129
0.5561330561330561,0.4696969696969697,2,200,25,1,0.8,0.003,0.005,0:01:14.652435
0.45426195426195426,0.41245791245791247,2,200,25,2,0.9,0.003,0.02,0:01:14.545722
0.5519750519750519,0.49326599326599324,2,300,16,1,0.8,0.003,0.01,0:01:11.362232
0.3482328482328482,0.32154882154882153,2,300,16,2,0.9,0.003,0.005,0:01:11.829981
