Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
Fitness,UnseenAccuracy,Seed,N_gen,PS,control,update_rate,radius,time
0.6247401247401247,0.563973063973064,2,300,16,1,0.8,0.003,0.008,0:02:16.703562
0.4812889812889813,0.44276094276094274,0,300,16,1,0.8,0.003,0.008,0:02:17.251047
0.5602910602910602,0.5067340067340067,4,300,16,1,0.8,0.003,0.008,0:02:17.502424
0.5426195426195426,0.5218855218855218,3,300,16,1,0.8,0.003,0.008,0:01:37.755948
0.4885654885654886,0.42592592592592593,5,300,16,1,0.8,0.003,0.008,0:01:38.268581
0.6559251559251559,0.5808080808080808,1,300,16,1,0.8,0.003,0.008,0:01:39.112321
0.5291060291060291,0.4797979797979798,6,300,16,1,0.8,0.003,0.008,0:01:46.835379
0.577962577962578,0.5218855218855218,8,300,16,1,0.8,0.003,0.008,0:01:47.289048
0.4916839916839917,0.45286195286195285,10,300,16,1,0.8,0.003,0.008,0:01:47.713610
0.5665280665280665,0.5134680134680135,7,300,16,1,0.8,0.003,0.008,0:01:54.239613
0.5436590436590436,0.4696969696969697,9,300,16,1,0.8,0.003,0.008,0:01:54.847986
0.5675675675675675,0.4696969696969697,11,300,16,1,0.8,0.003,0.008,0:01:54.891868
0.525987525987526,0.4730639730639731,12,300,16,1,0.8,0.003,0.008,0:01:51.716359
0.6029106029106029,0.5437710437710438,14,300,16,1,0.8,0.003,0.008,0:01:51.915773
0.6008316008316008,0.48484848484848486,16,300,16,1,0.8,0.003,0.008,0:01:52.110302
0.48336798336798337,0.41245791245791247,13,300,16,1,0.8,0.003,0.008,0:01:57.418675
0.5831600831600832,0.5016835016835017,15,300,16,1,0.8,0.003,0.008,0:01:56.476193
0.5124740124740125,0.4562289562289562,17,300,16,1,0.8,0.003,0.008,0:01:56.168046
0.3399168399168399,0.3333333333333333,18,300,16,1,0.8,0.003,0.008,0:00:49.501671
0.5696465696465697,0.5168350168350169,19,300,16,1,0.8,0.003,0.008,0:00:48.484387
