Fitness,UnseenAccuracy,Seed,N_gen,PS,PC,PM,radius,Pressure,elite_count,Time,alg,sel,cross,mut
0.36382536382536385,0.3282828282828283,0,180,27,1,0.5,0.0,0.8,0,0:02:11.903211,<genetic_algorithm.GeneticAlgorithm object at 0x1a1276bef0>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a124a5ea0>,<function one_point_crossover at 0x1a1248be18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a124a5f28>
0.3762993762993763,0.3181818181818182,1,180,27,1,0.5,0.0,0.8,0,0:02:12.570176,<genetic_algorithm.GeneticAlgorithm object at 0x1a1276bf98>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a124a5ea0>,<function one_point_crossover at 0x1a1248be18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a124a5f28>
0.3264033264033264,0.2845117845117845,2,180,27,1,0.5,0.0,0.8,0,0:03:18.450104,<genetic_algorithm.GeneticAlgorithm object at 0x1a1276bda0>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a124a5f28>,<function one_point_crossover at 0x1a1248be18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a124a5ea0>
0.5124740124740125,0.46296296296296297,3,180,27,1,0.5,0.0,0.8,0,0:03:20.256477,<genetic_algorithm.GeneticAlgorithm object at 0x1a1276be80>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a124a5f28>,<function one_point_crossover at 0x1a1248be18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a124a5ea0>
0.4573804573804574,0.37373737373737376,4,180,27,1,0.5,0.0,0.8,0,0:02:34.841125,<genetic_algorithm.GeneticAlgorithm object at 0x1a1276b940>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a124a5ea0>,<function one_point_crossover at 0x1a1248be18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a124a5f28>
Fitness,UnseenAccuracy,Seed,N_gen,PS,PC,PM,radius,Pressure,elite_count,Time,alg,sel,cross,mut
0.5114345114345115,0.4107744107744108,0,180,27,1,0.5,0.0,0.8,0,0:06:20.681156,<genetic_algorithm.GeneticAlgorithm object at 0x1a174b9d30>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a171f3ea0>,<function one_point_crossover at 0x1a171d6e18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a171f3f28>
0.5301455301455301,0.4730639730639731,1,180,27,1,0.5,0.0,0.8,0,0:06:21.649424,<genetic_algorithm.GeneticAlgorithm object at 0x1a174b9dd8>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a171f3ea0>,<function one_point_crossover at 0x1a171d6e18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a171f3f28>
0.48232848232848236,0.4595959595959596,2,180,27,1,0.5,0.0,0.8,0,0:06:02.006953,<genetic_algorithm.GeneticAlgorithm object at 0x1a174b98d0>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a171f3f28>,<function one_point_crossover at 0x1a171d6e18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a171f3ea0>
0.35654885654885654,0.28619528619528617,3,180,27,1,0.5,0.0,0.8,0,0:06:01.489767,<genetic_algorithm.GeneticAlgorithm object at 0x1a174b9be0>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a171f3f28>,<function one_point_crossover at 0x1a171d6e18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a171f3ea0>
0.43243243243243246,0.41919191919191917,4,180,27,1,0.5,0.0,0.8,0,0:02:56.813155,<genetic_algorithm.GeneticAlgorithm object at 0x1a174b9b70>,<function parametrized_tournament_selection.<locals>.tournament_selection at 0x1a171f3ea0>,<function one_point_crossover at 0x1a171d6e18>,<function parametrized_gaussian_mutation.<locals>.gaussian_mutation at 0x1a171f3f28>
