Fitness,UnseenAccuracy,Seed,N_gen,PS,PC,PM,radius,Pressure,elite_count,Time,alg,sel,cross,mut
0.27546777546777546,0.25925925925925924,0,180,27,1,0.5,0.6,0.8,0,0:14:40.767649,<genetic_algorithm.GeneticAlgorithm object at 0x11b0f9f60>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x11ae2f730>,<function one_point_crossover at 0x11add7378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x11ae2f840>
0.41476091476091476,0.3720538720538721,1,180,27,1,0.5,0.6,0.8,0,0:15:33.799650,<genetic_algorithm.GeneticAlgorithm object at 0x11ae44048>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x11ae2f730>,<function one_point_crossover at 0x11add7378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x11ae2f840>
0.340956340956341,0.32323232323232326,2,180,27,1,0.5,0.6,0.8,0,0:17:36.871781,<genetic_algorithm.GeneticAlgorithm object at 0x11b0f9ba8>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x11ae2f840>,<function one_point_crossover at 0x11add7378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x11ae2f730>
0.288981288981289,0.2609427609427609,3,180,27,1,0.5,0.6,0.8,0,0:49:21.260236,<genetic_algorithm.GeneticAlgorithm object at 0x11b0f9e48>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x11ae2f840>,<function one_point_crossover at 0x11add7378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x11ae2f730>
0.3004158004158004,0.2845117845117845,4,180,27,1,0.5,0.6,0.8,0,0:39:49.336748,<genetic_algorithm.GeneticAlgorithm object at 0x11b0f9d68>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x11ae2f730>,<function one_point_crossover at 0x11add7378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x11ae2f840>
Fitness,UnseenAccuracy,Seed,N_gen,PS,PC,PM,radius,Pressure,elite_count,Time,alg,sel,cross,mut
0.3908523908523909,0.3282828282828283,0,180,27,1,0.5,0.6,0.8,0,1:10:28.580938,<genetic_algorithm.GeneticAlgorithm object at 0x1200b22e8>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x1216dd598>,<function one_point_crossover at 0x121683378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x1216dd6a8>
0.2817047817047817,0.26262626262626265,1,180,27,1,0.5,0.6,0.8,0,1:11:32.901197,<genetic_algorithm.GeneticAlgorithm object at 0x1200b22e8>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x1216dd598>,<function one_point_crossover at 0x121683378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x1216dd6a8>
0.4230769230769231,0.39057239057239057,2,180,27,1,0.5,0.6,0.8,0,0:19:52.007026,<genetic_algorithm.GeneticAlgorithm object at 0x1219b1630>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x1216dd6a8>,<function one_point_crossover at 0x121683378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x1216dd598>
0.37422037422037424,0.32996632996632996,3,180,27,1,0.5,0.6,0.8,0,0:19:57.573250,<genetic_algorithm.GeneticAlgorithm object at 0x1219b17f0>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x1216dd6a8>,<function one_point_crossover at 0x121683378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x1216dd598>
0.2692307692307692,0.25252525252525254,4,180,27,1,0.5,0.6,0.8,0,0:10:39.858352,<genetic_algorithm.GeneticAlgorithm object at 0x1219b1ba8>,<function parameterized_x_best_selection.<locals>.best_x_selection at 0x1216dd598>,<function one_point_crossover at 0x121683378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x1216dd6a8>
