Fitness,UnseenAccuracy,Seed,N_gen,PS,PC,PM,radius,Pressure,elite_count,Time,alg,sel,cross,mut
0.23180873180873182,0.20707070707070707,0,180,27,1,0.5,0.6,0.8,0,0:15:26.244603,<genetic_algorithm.GeneticAlgorithm object at 0x113cfbda0>,<function random_selection at 0x1139e8268>,<function one_point_crossover at 0x1139d6378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x113a2f730>
0.20270270270270271,0.22727272727272727,1,180,27,1,0.5,0.6,0.8,0,0:15:52.321631,<genetic_algorithm.GeneticAlgorithm object at 0x113cfbe48>,<function random_selection at 0x1139e8268>,<function one_point_crossover at 0x1139d6378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x113a2f730>
0.23700623700623702,0.18013468013468015,2,180,27,1,0.5,0.6,0.8,0,0:49:21.030870,<genetic_algorithm.GeneticAlgorithm object at 0x113cfb7f0>,<function random_selection at 0x1139e8268>,<function one_point_crossover at 0x1139d6378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x113a2f730>
0.22141372141372143,0.2138047138047138,3,180,27,1,0.5,0.6,0.8,0,0:49:22.978418,<genetic_algorithm.GeneticAlgorithm object at 0x113cfb9e8>,<function random_selection at 0x1139e8268>,<function one_point_crossover at 0x1139d6378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x113a2f730>
0.22557172557172558,0.22053872053872053,4,180,27,1,0.5,0.6,0.8,0,0:07:33.283843,<genetic_algorithm.GeneticAlgorithm object at 0x113cfb780>,<function random_selection at 0x1139e8268>,<function one_point_crossover at 0x1139d6378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x113a2f730>
Fitness,UnseenAccuracy,Seed,N_gen,PS,PC,PM,radius,Pressure,elite_count,Time,alg,sel,cross,mut
0.23180873180873182,0.20707070707070707,0,180,27,1,0.5,0.6,0.8,0,1:10:34.292792,<genetic_algorithm.GeneticAlgorithm object at 0x1214e8a58>,<function random_selection at 0x1211cb158>,<function one_point_crossover at 0x1211ba378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x121213598>
0.20270270270270271,0.22727272727272727,1,180,27,1,0.5,0.6,0.8,0,1:11:06.085729,<genetic_algorithm.GeneticAlgorithm object at 0x1214e8b00>,<function random_selection at 0x1211cb158>,<function one_point_crossover at 0x1211ba378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x121213598>
0.23700623700623702,0.18013468013468015,2,180,27,1,0.5,0.6,0.8,0,0:19:43.116513,<genetic_algorithm.GeneticAlgorithm object at 0x1214e85f8>,<function random_selection at 0x1211cb158>,<function one_point_crossover at 0x1211ba378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x121213598>
0.22141372141372143,0.2138047138047138,3,180,27,1,0.5,0.6,0.8,0,0:19:48.410753,<genetic_algorithm.GeneticAlgorithm object at 0x1214e8860>,<function random_selection at 0x1211cb158>,<function one_point_crossover at 0x1211ba378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x121213598>
0.22557172557172558,0.22053872053872053,4,180,27,1,0.5,0.6,0.8,0,0:10:29.043614,<genetic_algorithm.GeneticAlgorithm object at 0x1214e8dd8>,<function random_selection at 0x1211cb158>,<function one_point_crossover at 0x1211ba378>,<function parametrized_ball_mutation.<locals>.ball_mutation at 0x121213598>
